time,energy,error
0.0,4999.999999995475,2.047323714857028E-17
0.1,4999.587797473641,0.16991092273646943
0.2,4985.00047842126,224.98564759109632
0.3,4932.687631349272,4530.954973371493
0.4,4965.854704679609,1165.9011925166942
0.5,4941.503181847248,3421.877733996134
0.6,4956.280579121674,1911.3877619361867
0.7,4932.531572119323,4551.988760690135
0.8,4944.892401709138,3036.8473893870573
0.9,4946.748796347571,2835.6906904324205
1.0,4950.000327069077,2499.967293199297
1.1,4950.7239010852,2428.1339242611593
1.2,4932.472130329321,4560.013182260227
1.3,4944.036523301595,3131.9107241729675
1.4,4938.7831493039175,3747.5028091464533
1.5,4931.468182320252,4696.610034490248
1.6,4932.875237462307,4505.733745741638
1.7,4943.835748069199,3154.4231949464474
1.8,4947.758289341528,2729.196332523473
1.9,4919.732699150779,6442.83958561937
2.0,4954.294992410716,2088.947718736501
2.1,4935.395748647302,4173.709292842602
2.2,4928.679579287927,5086.602410547152
2.3,4936.421503894336,4042.225167057967
2.4,4944.983327536755,3026.834248928026
2.5,4947.03139277662,2805.673351184691
2.6,4939.5464925231345,3654.626566255436
2.7,4931.860285437049,4643.0207007204035
2.8,4939.961571495386,3604.612897303632
2.9,4948.1746486361235,2685.8670439892567
3.0,4934.585699038373,4279.030770298355
3.1,4926.141852582484,5455.0259399475535
3.2,4962.732393964496,1388.8744596175554
3.3,4938.5758761947145,3772.9229852470394
3.4,4931.213418010445,4731.593861805784
3.5,4946.85158150874,2824.754388122075
3.6,4936.84121163247,3989.032548054465
3.7,4941.251022578107,3451.442348118089
3.8,4962.693667669171,1391.7624319782428
3.9,4921.333656769332,6188.393557285223
4.0,4941.373988966654,3437.0091696820073
4.1,4942.500905216447,3306.1459009280256
4.2,4928.932402424561,5050.603425144589
4.3,4929.330562675361,4994.1693717811
4.4,4931.332558158341,4715.217569077584
4.5,4932.189727985189,4598.232990722638
4.6,4939.535581925374,3655.9458531032
4.7,4932.381107867821,4572.314573183273
4.8,4918.154776966559,6698.640533393629
4.9,4956.310456114501,1908.7762449229435
5.0,4928.281254772942,5143.578416943685
5.1,4939.200187218611,3696.6172342519453
5.2,4944.953559012583,3030.110665381143
5.3,4973.141970236875,721.3537627569169
5.4,4949.854803990278,2514.540682853438
5.5,4897.530546887306,10499.988821214652
5.6,4926.588380630377,5389.265858470365
5.7,4932.83149623709,4511.607897748109
5.8,4950.505868528047,2449.6690501629328
5.9,4922.049162700474,6076.333035697178
6.0,4926.351304079882,5424.13041073406
6.1,4930.220968490897,4869.1132383484355
6.2,4922.481338389784,6009.142897839244
6.3,4936.836696875392,3989.6028616111553
6.4,4946.315399326493,2882.036349473886
6.5,4931.141175766593,4741.537674807263
6.6,4936.888380866479,3983.0764696546576
6.7,4946.486603152538,2863.683642153955
6.8,4944.118206480841,3122.7748469179373
6.9,4933.932989925577,4364.849820173883
7.0,4932.659803325752,4534.7020881263525
7.1,4951.416999181052,2360.3079685738794
7.2,4959.25863527628,1659.8587995511705
7.3,4956.144255509954,1923.3263247762145
7.4,4913.709709770805,7446.014187838759
7.5,4929.1582648434,5018.551439997914
7.6,4938.930026457194,3729.5416685190385
7.7,4941.968510357549,3367.653790121857
7.8,4920.635295869802,6298.756261673921
7.9,4946.842734558335,2825.6948692356327
8.0,4924.867765295411,5644.85269170543
8.1,4936.880742908035,3984.040615841543
8.2,4936.310708496878,4056.325852169667
