time,energyk,p,total,error
0.0,5000.000000000101,0.0,5000.000000000101,1.0191692327265854E-20
0.001,5000.000008441731,-0.0026125817576135683,4999.997395859973,6.781545280017948E-6
0.002,5000.0000451911,-0.007375838467709073,4999.992669352632,5.373839083074467E-5
0.003,5000.000111387663,-0.009595257823290883,4999.99051612984,8.994379320763555E-5
0.004,5000.000201583658,-0.012891206710734607,4999.987310376947,1.6102653323027858E-4
0.005,5000.000321550219,-0.0162594169730211,4999.984062133246,2.5401559666919974E-4
0.006,5000.0004661119765,-0.018630282269956385,4999.981835829706,3.2993708246426435E-4
0.007,5000.000627823068,-0.020508498104611417,4999.980119324963,3.952412399189274E-4
0.008,5000.000806322871,-0.023965828753979523,4999.976840494117,5.363627127487062E-4
0.009000000000000001,5000.0010235696955,-0.031667692606587375,4999.969355877089,9.390622690044625E-4
0.010000000000000002,5000.001286155569,-0.03531782229327628,4999.965968333276,0.0011581543400359681
0.011000000000000003,5000.001579090029,-0.04005780573570347,4999.961521284293,0.001480611562478781
0.012000000000000004,5000.001897738046,-0.042779409221785185,4999.959118328824,0.0016713110381480223
0.013000000000000005,5000.002239579784,-0.046573124277941746,4999.955666455507,0.0019654631673468293
0.014000000000000005,5000.002603961815,-0.04937254679505865,4999.95323141502,0.002187300541019573
0.015000000000000006,5000.00299636051,-0.05380362885480404,4999.949192731656,0.0025813785166010836
0.016000000000000007,5000.003419939928,-0.05776775217206415,4999.9456521877555,0.002953684695761979
0.017000000000000008,5000.003866583247,-0.0612526196998529,4999.942613963547,0.003293157179779731
0.01800000000000001,5000.004337846737,-0.06480880540163918,4999.939529041336,0.0036567368417619126
0.01900000000000001,5000.004839310701,-0.06894500660881603,4999.9358943040925,0.004109540247788525
0.10000000000000007,5000.217176399057,-0.6404078584540529,4999.576768540604,0.17912486822284676
0.10100000000000008,5000.224153558773,-0.6546449727758817,4999.569508585997,0.1853228575302785
0.10200000000000008,5000.23134946243,-0.6703724666727449,4999.560976995757,0.19274119825428512
0.10300000000000008,5000.238777881692,-0.6871036630283484,4999.551674218664,0.20099600621078573
0.10400000000000008,5000.246445144739,-0.7032793977885539,4999.54316574695,0.20869753475988556
0.10500000000000008,5000.254352053529,-0.7194292477996982,4999.534922805729,0.21629679663064524
0.10600000000000008,5000.262507655826,-0.7366151312099926,4999.525892524616,0.22477789821479036
0.10700000000000008,5000.270927431229,-0.7553861158671196,4999.5155413153625,0.2347002171206989
0.10800000000000008,5000.279624577444,-0.7747107458172208,4999.504913831627,0.24511031411409637
0.10900000000000008,5000.2886103630035,-0.7951534643935193,4999.49345689861,0.25658591356577926
0.11000000000000008,5000.29789769056,-0.8152059640415632,4999.482691726518,0.2676078498127527
0.11100000000000008,5000.3074960587965,-0.8358811633246634,4999.471614895472,0.27919081868689904
0.11200000000000009,5000.31741250234,-0.8566938505330604,4999.460718651807,0.29082437250893695
0.11300000000000009,5000.327661038218,-0.8787251523642504,4999.448935885854,0.30367165789990874
0.11400000000000009,5000.338258044017,-0.900451197956006,4999.437806846061,0.31606114233588706
0.11500000000000009,5000.349216266092,-0.9244607819307094,4999.424755484161,0.3309062530024731
0.11600000000000009,5000.3605480525675,-0.9476989088584915,4999.412849143709,0.3447461280436928
0.11700000000000009,5000.37226678526,-0.9717414553715197,4999.400525329888,0.35936988010553605
0.11800000000000009,5000.384392637853,-0.9976691660423576,4999.386723471811,0.3761081000276634
0.11900000000000009,5000.396943252364,-1.023441919352169,4999.3735013330115,0.39250057973834485
0.20000000000000015,5014.414453729136,-30.939408751176146,4983.475044977959,273.0741384804635
0.20100000000000015,5015.352967646673,-32.90208115199467,4982.450886494678,307.97138482266297
0.20200000000000015,5016.333743639033,-34.92767232663029,4981.406071312403,345.7341840394548
0.20300000000000015,5017.345117103143,-36.97819522818083,4980.366921874962,385.45775666384884
0.20400000000000015,5018.3678187763,-38.993603588608856,4979.374215187691,425.4229991236628
0.20500000000000015,5019.371722776515,-40.88389677853643,4978.487825997978,462.77363029328075
0.20600000000000016,5020.311639653323,-42.51902001345138,4977.792619639872,493.16774245939433
0.20700000000000016,5021.122292960902,-43.72158307778947,4977.4007098831125,510.7279137872472
0.20800000000000016,5021.713276112574,-44.25290226588595,4977.4603738466885,508.0347471310426
