time,energy,error
0.0,4999.999999998722,1.6328752086949905E-18
0.1,4999.6195206281145,0.14476455243037342
0.2,4989.466383774548,110.95707078509771
0.2,4972.377647787699,762.9943417404065
0.3,4954.026370766039,2113.5745849417335
0.4,4943.82992120286,3155.077752076959
0.5,4940.2771631898495,3566.817236651869
0.6,4948.675050811023,2634.250409251109
0.7,4958.250724874616,1743.0019734950051
0.8,4950.630686283673,2437.32913682114
0.9,4948.758908677623,2625.649439908142
1.0,4931.9444083033095,4631.563561186649
1.1,4939.51038727183,3658.993248003981
1.2,4953.707549354582,2142.990986758488
1.3,4961.90903987804,1450.921243012751
1.4,4950.147009301345,2485.3206816001866
1.5,4942.454420430201,3311.493728024065
1.6,4955.903349706363,1944.5145671193284
1.7,4950.351727760327,2464.950936384698
1.8,4963.328006271741,1344.8351240054462
1.9,4944.656889181883,3062.859915026341
2.0,4950.523549457941,2447.919158240806
2.1,4947.037611942116,2805.0145487938726
2.2,4946.724565196033,2838.2719535517463
2.3,4935.066009650898,4216.423102657246
2.4,4935.546379876964,4154.269146964601
2.5,4938.860147748789,3738.0815332998945
2.6,4948.371036452539,2665.5498769850933
2.7,4943.44737389825,3198.1995190043717
2.8,4966.969556785697,1091.0101789332937
2.9,4937.889887714694,3857.6660480933265
3.0,4940.1985300641645,3576.2158064866353
3.1,4941.033634013728,3477.032317626945
3.2,4926.5415197610055,5396.148319022749
3.3,4955.822853494201,1951.6202733948378
3.4,4951.049765326017,2396.125474637986
3.5,4933.499027083392,4422.379398855388
3.6,4943.18515570655,3227.926532088948
3.7,4940.0936153286,3588.774924397724
3.8,4946.758008198602,2834.7096909801744
3.9,4946.484049240794,2863.9569856617754
4.0,4929.275902213322,5001.89800773955
4.2,4950.054263401458,2494.576604370915
4.3,4951.68122317835,2334.704193540452
4.4,4945.863245499657,2930.788187830425
4.5,4910.640300454683,7985.155902829363
4.6,4943.304821701741,3214.343242271347
4.7,4932.602374064829,4542.439981697256
4.8,4922.530162078451,6001.5757875910385
4.9,4912.795929572021,7604.5498992079
5.0,4934.074106627557,4346.223416954746
5.1,4928.065600023694,5174.5578999511645
5.2,4936.236375906839,4065.7997574938927
5.3,4940.892046300316,3493.750190563988
5.4,4923.684344991727,5824.079199341759
5.5,4936.222095339396,4067.6211228970656
5.6,4937.74913575169,3875.1700996615054
5.7,4926.336669925551,5426.286197657197
5.8,4916.362954672994,6995.155351031586
5.9,4931.537118409904,4687.166155619506
6.0,4918.393813521589,6659.569671549119
6.1,4942.2459175812955,3335.5340360265072
6.2,4919.413265891702,6494.2217142414565
6.3,4944.513974692298,3078.6990044469712
6.4,4951.682706510845,2334.5608501171805
6.5,4924.185678754452,5747.811305923143
6.6,4951.402781685207,2361.6896279356797
6.7,4934.012366188212,4354.36781607867
6.8,4930.105514021586,4885.239170186738
6.9,4925.733253542352,5515.549629404567
7.0,4911.423158708808,7845.856813125028
7.1,4933.557936115029,4414.5478532945135
7.2,4917.022077890065,6885.335557682474
7.3,4919.456639336807,6487.232946921217
7.4,4959.68942424208,1624.9425179349794
7.5,4938.568683731799,3773.806618443742
7.6,4948.45198123568,2657.198238526661
7.7,4941.780935230876,3389.4595025914655
7.8,4925.543881422397,5543.713593642058
7.9,4915.93226387243,7067.384257614779
8.0,4927.979153266185,5187.002364255704
8.1,4943.754138612699,3163.5969231995196
8.2,4917.855638307064,6747.696157939957
8.3,4936.344110196106,4052.072306725476
8.4,4932.855808910128,4508.3423971132515
8.5,4933.925397383621,4365.853110912371
8.6,4929.738580031623,4936.667135972602
8.7,4949.683985991263,2531.701265727378
8.8,4943.484924812898,3193.9537234038385
8.9,4959.644260901531,1628.5856781836835
9.0,4936.160527335615,4075.4782700667124
9.1,4939.982232509696,3602.13241452023
9.2,4944.19553828469,3114.1379473355023
9.3,4929.451170649612,4977.137322710122
9.4,4920.665980133249,6293.886708218055
9.5,4921.050985464624,6232.946896106961
9.6,4939.002761877557,3720.6630585660596
9.7,4966.964400776981,1091.3508160239226
9.8,4936.641412029945,4014.3106695591905
9.9,4927.383027233084,5273.2247338309835
10.0,4941.286218305445,3447.308160875875
10.1,4940.332215795429,3560.2444718832567
10.2,4937.983334311666,3846.06682309857
10.3,4923.550733349206,5844.490371444206
10.4,4944.406722595688,3090.6124925528065
10.5,4921.0039308167225,6240.3789464091715
10.6,4908.581717745659,8357.30233033431
10.7,4909.670219574849,8159.469231655921
10.8,4903.806728266709,9253.145526754783
10.9,4925.441200358052,5559.0146040481595
11.0,4943.587417658404,3182.379446447364
11.1,4921.104107257771,6224.5618915933155
11.2,4917.279456927965,6842.688246132409
11.3,4884.843958957552,13260.913788569997
11.4,4911.021623423382,7917.151498210415
11.4,4924.5561303950735,5691.777460965149
11.5,4897.439853675693,10518.58361406335
11.6,4924.614694593948,5682.944271163716
11.7,4917.505204034487,6805.39136139159
11.8,4929.4310610339935,4979.9751467879505
11.9,4943.917919277406,3145.199778175513
12.0,4937.76649530134,3873.0091070781364
12.1,4933.099492454914,4475.677909790099
12.2,4913.513514629541,7479.912151734684
12.3,4923.694110437143,5822.588781978986
12.4,4944.383442793544,3093.2014354989465
12.5,4930.76890629429,4792.9443356888005
12.6,4915.724208164111,7102.409089566149
12.7,4938.924375200638,3730.231944632471
12.8,4967.6428827421,1046.9830372415176
12.9,4958.899314584917,1689.2663415896006
13.0,4940.446842927115,3546.5785173477566
13.1,4917.102129256143,6872.056973865274
13.2,4936.942073971774,3976.30203498118
13.3,4895.335193909773,10954.721633904841
13.4,4945.495898238399,2970.6971088389905
13.5,4965.512500734535,1189.3876055854473
13.6,4952.996797289204,2209.301065072214
13.7,4907.726472692106,8514.403841840707
13.8,4917.2564958752355,6846.487474844922
13.9,4931.224694375826,4730.042663698485
14.0,4960.725805720904,1542.4623362721977
14.1,4958.552632294896,1717.8842896820745
14.2,4934.3125360751665,4314.842916876308
14.3,4939.505326295441,3659.6055466211005
14.4,4926.861105899286,5349.297830275519
14.5,4934.4760877789395,4293.383072753245
14.6,4941.337344822634,3441.307112458558
14.7,4920.492435933906,6321.452743724097
14.8,4923.145742009751,5906.576971231706
14.9,4935.616411632453,4145.246451081787
15.0,4960.052721599415,1595.785051613826
15.1,4950.711089912867,2429.3966575775253
15.2,4929.854912497231,4920.333300771056
15.3,4935.6553338978565,4140.236055796334
15.4,4957.950624759647,1768.1499581039845
15.5,4973.195096415291,718.502856185539
15.6,4924.006498375413,5775.012289166141
15.7,4926.394698614491,5417.7403920516035
15.8,4915.661260584044,7113.022966272581
15.9,4911.028340344876,7915.956221787275
16.0,4956.176067003948,1920.5371032424162
