time,energy,error
19.3,4919.1424402504,6537.944968660152
19.4,4916.415955568674,6986.292483497916
19.4,4913.102493101825,7551.176705118438
19.5,4960.508314652599,1559.5932115780922
19.6,4949.3109885255,2569.3758842620077
19.7,4951.5219796425135,2350.1184577808713
19.8,4936.341388360031,4052.4188359284503
19.9,4958.938596908928,1686.0388238074934
20.0,4946.101554448491,2905.0424328690033
20.1,4942.035346075275,3359.9011046131486
20.2,4929.39925295431,4984.465483409475
20.3,4929.939768934003,4908.435977020886
20.4,4931.477004503528,4695.400911809466
20.5,4949.8062681595065,2519.4107160753665
20.6,4935.860254609321,4113.906938781168
20.7,4965.753703390492,1172.8088314664085
20.8,4956.256954932194,1913.4539918040828
20.9,4964.183366761906,1282.831216512158
21.0,4938.357787340617,3799.7623815446477
21.1,4958.462737790477,1725.344151862655
21.2,4942.246002661361,3335.5242085915484
21.3,4943.554512863221,3186.0930181082686
21.4,4941.669698216717,3402.4241061288885
21.5,4963.487481210538,1333.1640283508057
21.6,4956.860745542881,1860.9952751160636
21.7,4941.762281598452,3391.6318446179653
21.8,4947.895584192004,2714.8701466925218
21.9,4934.459336925575,4295.578516235248
22.0,4933.439744345346,4430.26763281286
22.1,4938.529330167667,3778.643249635749
22.2,4953.227650428364,2187.652684451353
22.3,4937.30324922639,3930.8825575681526
22.4,4940.086725603673,3589.6004488896115
22.5,4941.37092355559,3437.368604724495
22.6,4941.722337664006,3396.2859273481495
22.7,4915.697582765221,7106.8975516267055
22.8,4934.825764254326,4247.681005032716
22.9,4919.801563605267,6431.789200160052
23.0,4948.003882106366,2703.5962760086554
23.1,4940.4299738546915,3548.588014952735
23.2,4934.241117568244,4324.2306186735495
23.3,4935.954873340557,4101.7782488240655
23.4,4946.327283544114,2880.760491753944
23.5,4951.91907897094,2311.774967002698
23.6,4931.344576656622,4713.567154458461
23.7,4954.032171010005,2113.0413020534074
23.8,4948.343330174194,2668.4115374923044
23.9,4944.634601838487,3065.327313582916
24.0,4936.274813392083,4060.899408213824
24.1,4969.345022824233,939.7276256468124
24.2,4937.446007331702,3913.0019987454452
24.3,4937.743650947513,3875.8529973451195
24.4,4938.2050768778,3818.6125236786193
24.5,4933.5150146748365,4420.253273687207
24.6,4953.21415030985,2188.915731229301
24.7,4945.109340100991,3012.9845441486555
24.8,4913.511263333749,7480.301570124039
24.9,4942.752329985676,3277.295722068964
25.0,4950.826185615174,2418.0640211533278
25.1,4940.289441558624,3565.3507893809456
25.2,4960.542904599365,1556.8623774548037
25.3,4928.12440123069,5166.101698446876
25.4,4959.193751289128,1665.1499338535298
25.5,4946.372648210473,2875.892859957683
25.6,4936.981164590414,3971.373616380521
25.7,4943.433838454865,3199.730631950355
25.8,4938.172652686399,3822.620875836697
25.9,4918.016696259225,6721.262092252209
26.0,4929.893849819027,4914.872293197097
26.1,4949.515605227646,2548.674115530872
26.2,4934.3391454663515,4311.347818088947
26.3,4929.101148264878,5026.647177358776
26.4,4926.29906165013,5431.828313651314
26.5,4948.409307122086,2661.5995916232546
26.6,4935.886370308653,4110.557512199215
26.7,4935.825090910555,4118.418956638473
26.8,4933.176523297656,4465.377038588728
26.9,4945.44863011378,2975.851956463149
27.0,4942.679754660491,3285.6105257814806
27.1,4942.606397085398,3294.025655518967
27.2,4958.652957292562,1709.577940650706
27.3,4937.37443528626,3921.9613557147804
27.4,4951.573213262274,2345.153673741166
27.5,4953.41462854475,2170.196833623661
27.6,4948.316215115233,2671.21362001489
27.7,4936.093043503806,4084.0990886063996
27.8,4955.107544034706,2015.3326025958766
27.9,4944.7348444893,3054.2374136219014
28.0,4941.102670954662,3468.8953686747864
28.1,4930.052646745166,4892.632227356483
28.2,4940.310950029755,3562.7826863503956
28.3,4937.855833975942,3861.897370825684
28.4,4928.4861289846285,5114.233747603189
28.5,4947.914861194748,2712.8616843624122
28.6,4915.354829388998,7164.80490776563
28.7,4923.667064622371,5826.717023365274
28.8,4945.073953488357,3016.870585399182
28.9,4934.070789184779,4346.660838717889
29.0,4950.3576765684675,2464.3602756808837
29.1,4937.837714538489,3864.1497337983437
29.2,4937.671258973702,3884.871957923361
29.3,4940.417133601014,3550.1179683194114
29.4,4946.714102504799,2839.3868718691133
29.5,4940.032246284755,3596.1314856522476
29.6,4951.278582104421,2373.776561755663
29.7,4936.785499146202,3996.073118194853
29.8,4934.085961112705,4344.660522435803
29.9,4947.761652333904,2728.8449668839344
30.0,4976.76847624491,539.7036959833187
30.1,4939.200428914221,3696.5878442146395
30.2,4941.467421767076,3426.062714593333
30.3,4945.165695842458,3006.800912441799
30.4,4954.952083279612,2029.314800846972
30.5,4943.207904894011,3225.3420665276617
30.6,4952.435399500658,2262.3912206620344
30.7,4950.82279199434,2418.397787231935
30.8,4945.429801638607,2977.906549201737
30.9,4936.473865831434,4035.5697224026976
31.0,4948.909605282187,2610.2284324219418
31.1,4953.791018500604,2135.2699712115245
31.2,4946.6428289068535,2846.9877070633042
31.3,4937.989740300176,3845.272308039619
31.4,4928.467650580945,5116.877013409808
31.5,4933.650541473791,4402.250646721097
31.6,4942.515853247853,3304.4271278224132
31.7,4958.304548695457,1738.5106594895153
31.8,4949.265517257416,2573.9877391575615
31.9,4945.278690344148,2994.4217304516037
32.0,4945.770902893771,2940.7949729568522
32.1,4945.7762991041245,2940.2097388453676
32.2,4948.160072442777,2687.3780891381116
32.3,4943.581045687772,3183.098405685313
32.4,4950.278046809421,2472.272629086166
32.5,4925.25305826315,5587.105299012079
32.6,4974.993591276185,625.3204772625002
32.7,4943.525926837261,3189.3209395903896
32.8,4950.8411039036455,2416.597065412179
32.9,4938.51853446879,3779.970603865392
33.0,4922.805786940023,5958.94652994917
33.1,4939.634321014015,3644.015199439008
33.2,4932.7826281206535,4518.1750823663615
33.3,4925.392780570784,5566.2371909591175
33.4,4943.4228350872945,3200.9755895594726
33.5,4947.410760461454,2765.6281152425995
33.6,4936.591070413819,4020.692351265302
33.7,4945.674405019296,2951.270270007536
33.8,4936.448786601064,4038.7567244770953
33.9,4946.146310523569,2900.2198702238657
34.0,4940.968027052505,3484.7738300737788
34.1,4926.745347407472,5366.24412645199
34.2,4930.235660329653,4867.063089639552
34.3,4924.855611096564,5646.679183670875
34.4,4916.808387765677,6920.844346145918
34.5,4948.198622968349,2683.3826623752702
34.6,4940.075176888818,3590.9844249064977
34.7,4941.517252541202,3420.231750329574
34.8,4932.156606669231,4602.7260186334015
34.9,4929.06518063885,5031.748597799038
